Object_size, Total_Ptrs, Uniq_Ptrs, Duplicate_Ptrs
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
8192, 2963, 2963, 0
