Object_size, Total_Ptrs, Uniq_Ptrs, Duplicate_Ptrs
8192, 23813, 23813, 0
8192, 23813, 23813, 0
8192, 23813, 23813, 0
8192, 23813, 23813, 0
8192, 23813, 23813, 0
8192, 23813, 23813, 0
8192, 23813, 23813, 0
8192, 23813, 23813, 0
8192, 23813, 23813, 0
8192, 23813, 23813, 0
8192, 23813, 23813, 0
8192, 23813, 23813, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
8192, 23815, 23815, 0
